"File","Link","Exists"
"ugc_ps_aicte.html","assets/pdfs/public_self_disclosure/aicte.pdf","False"
"ugc_ps_aicte.html","assets/pdfs/public_self_disclosure/aicte.pdf","False"
"ugc_ps_aicte.html","assets/pdfs/public_self_disclosure/aicte.pdf","False"
"ugc_ps_incubation.html","assets/pdfs/autonomous/MSME_Support_Policy.pdf","False"
"ugc_ps_rnd.html","assets/pdfs/research/Patent 1 Journal.pdf","False"
"ugc_ps_rnd.html","assets/docs/research/Book Chapter Impact of ... .pdf","False"
"ugc_ps_rnd.html","assets/pdfs/research/List_of_Journals_3_3_1.pdf","False"
"ugc_ps_sl_sgrc.html","assets/pdfs/autonomous/grc/grc_minutes_2023_10_31.pdf","False"
"ugc_ps_sl_sgrc.html","assets/pdfs/autonomous/grc/grc_minutes_2023_02_17.pdf","False"
"ugc_ps_sl_sgrc.html","assets/pdfs/autonomous/grc/grc_minutes_2022_07_28.pdf","False"
"ugc_ps_sl_sgrc.html","assets/pdfs/autonomous/grc/grc_minutes_2022_02_23.pdf","False"
